Modelo,Ano Fabricacao,Idade Veiculo,Km,Reclamacoes,Recall
Fiat Grand Siena,2015,11.0,122173.0,8.0,Não
Jeep Renegade,2015,11.0,152383.0,10.0,Sim
Fiat Strada,2023,,39313.0,1.0,Não
Jeep Compass,2025,1.0,16311.0,,Não
Jeep Compass,2020,6.0,75239.0,3.0,Não
,2019,7.0,109231.0,6.0,Não
Jeep Compass,2021,5.0,62863.0,4.0,Não
Jeep Renegade,2022,4.0,62285.0,2.0,Não
Fiat Palio,2017,9.0,111010.0,12.0,Sim
Jeep Grand Cherokee,2018,8.0,93307.0,3.0,Não
Jeep Compass,2020,6.0,89012.0,4.0,Sim
Fiat Strada,2024,2.0,11890.0,1.0,Não
Jeep Renegade,2024,2.0,15020.0,1.0,Não
Fiat Strada,2025,1.0,11460.0,3.0,Não
Fiat Uno,2020,6.0,39659.0,3.0,Não
Fiat Strada,2017,9.0,117382.0,5.0,Não
Fiat Grand Siena,2013,13.0,100214.0,16.0,Sim
Jeep Compass,2023,3.0,,,Não
Fiat Strada,2022,,34900.0,1.0,Não
Jeep Compass,2022,4.0,35734.0,2.0,Não
Fiat Toro,2021,5.0,74809.0,3.0,Não
Fiat Strada,2019,7.0,88936.0,3.0,Não
Fiat Uno,2020,6.0,61391.0,9.0,Não
Jeep Grand Cherokee,2021,5.0,80589.0,4.0,Não
Jeep Renegade,2024,2.0,23970.0,1.0,Não
Fiat Strada,2025,1.0,10583.0,2.0,Não
Jeep Compass,2022,4.0,43638.0,4.0,Não
Fiat Strada,2021,5.0,85369.0,4.0,Sim
Jeep Grand Cherokee,2020,6.0,51622.0,3.0,Não
Fiat Uno,2019,7.0,93868.0,7.0,Não
Jeep Compass,2025,1.0,9899.0,3.0,Não
Jeep Renegade,2023,3.0,38566.0,4.0,Não
Jeep Compass,2019,7.0,105047.0,5.0,Sim
Jeep Grand Cherokee,2021,5.0,49077.0,5.0,Não
Fiat Strada,2016,10.0,93083.0,6.0,Sim
RAM 2500,2019,7.0,101516.0,9.0,Não
Fiat Uno,2011,15.0,147018.0,8.0,Não
Fiat Uno,2016,10.0,103686.0,11.0,Sim
Jeep Grand Cherokee,2017,9.0,140415.0,8.0,Não
Jeep Grand Cherokee,2017,9.0,141847.0,15.0,Não
Fiat Toro,2021,5.0,73986.0,1.0,Não
Fiat Toro,2016,10.0,155847.0,7.0,Não
Jeep Renegade,2016,10.0,99377.0,6.0,Sim
Fiat Palio,2013,13.0,173721.0,13.0,Não
Fiat Toro,2025,1.0,10921.0,1.0,Não
Fiat Palio,2015,11.0,118349.0,13.0,Não
Jeep Compass,2023,3.0,39098.0,1.0,Sim
Jeep Compass,2025,1.0,11464.0,1.0,Sim
Fiat Palio,2011,15.0,164401.0,8.0,Não
Fiat Uno,2020,6.0,54620.0,5.0,Sim
Jeep Grand Cherokee,2023,3.0,,5.0,Sim
RAM 2500,2016,10.0,31884.0,7.0,Não
Jeep Renegade,2020,6.0,91527.0,5.0,Sim
Fiat Strada,2023,3.0,31977.0,1.0,Não
Fiat Strada,2018,8.0,105863.0,13.0,Sim
Fiat Strada,2025,1.0,15798.0,0.0,Não
RAM 2500,2015,11.0,166855.0,10.0,Sim
Jeep Renegade,2024,2.0,27779.0,1.0,Não
Fiat Grand Siena,2018,8.0,118396.0,4.0,Sim
Fiat Toro,2025,1.0,13698.0,0.0,Não
Fiat Palio,2015,11.0,134552.0,3.0,Não
RAM 2500,2019,7.0,51635.0,5.0,Sim
Fiat Palio,2016,10.0,84396.0,6.0,Não
Jeep Compass,2016,10.0,152512.0,4.0,Sim
Fiat Toro,2017,9.0,118102.0,9.0,Não
Jeep Renegade,2017,9.0,159506.0,11.0,Sim
RAM 2500,2018,8.0,101812.0,10.0,Sim
Fiat Toro,2021,5.0,53865.0,2.0,Não
Jeep Grand Cherokee,2022,4.0,63900.0,5.0,Sim
Fiat Grand Siena,2018,8.0,104618.0,4.0,Não
Fiat Toro,2018,8.0,99787.0,3.0,Não
Fiat Uno,2011,15.0,177788.0,8.0,Não
Jeep Renegade,2016,10.0,118176.0,7.0,Sim
Jeep Renegade,2021,5.0,63461.0,5.0,Não
Fiat Strada,2017,9.0,86331.0,5.0,Não
Fiat Strada,2017,9.0,139423.0,9.0,Sim
Fiat Toro,2021,5.0,58047.0,5.0,Não
Fiat Grand Siena,2018,8.0,84730.0,7.0,Sim
Fiat Palio,2014,12.0,163156.0,9.0,Não
Fiat Strada,2016,10.0,137118.0,5.0,Não
Fiat Grand Siena,2014,12.0,145469.0,11.0,Não
Jeep Renegade,2019,7.0,79290.0,4.0,Sim
RAM 2500,2018,8.0,92381.0,8.0,Não
Fiat Toro,2017,9.0,118194.0,6.0,Não
Jeep Compass,2016,10.0,67239.0,4.0,Não
Jeep Compass,2020,6.0,77560.0,8.0,Não
Jeep Renegade,2018,8.0,113710.0,5.0,Não
Jeep Compass,2022,4.0,45800.0,1.0,Não
Jeep Compass,2020,6.0,99369.0,3.0,Não
Jeep Compass,2016,10.0,127123.0,5.0,Não
Jeep Renegade,2015,11.0,155694.0,12.0,Sim
Fiat Uno,2017,9.0,112479.0,11.0,Não
Jeep Renegade,2019,7.0,76657.0,2.0,Não
Fiat Grand Siena,2017,9.0,135570.0,8.0,Não
Fiat Grand Siena,2018,8.0,123342.0,3.0,Não
Fiat Palio,2013,13.0,104800.0,10.0,Não
Jeep Renegade,2022,4.0,69680.0,4.0,Não
Fiat Palio,2017,9.0,107144.0,5.0,Não
Jeep Grand Cherokee,2024,2.0,23535.0,4.0,Não
Fiat Strada,2024,2.0,22744.0,4.0,Não
Jeep Renegade,2016,10.0,154259.0,7.0,Sim
RAM 2500,2025,1.0,12735.0,2.0,Não
Fiat Toro,2021,5.0,37968.0,4.0,Não
RAM 2500,2017,9.0,110315.0,7.0,Sim
Fiat Toro,2017,,106948.0,7.0,Sim
Jeep Grand Cherokee,2020,6.0,80776.0,8.0,Não
Fiat Uno,2015,11.0,154800.0,7.0,Não
Jeep Compass,2025,1.0,10429.0,3.0,Não
Fiat Grand Siena,2019,7.0,88875.0,6.0,Não
Fiat Strada,2023,3.0,23878.0,2.0,Não
Fiat Palio,2013,13.0,189968.0,20.0,Sim
Fiat Strada,2016,10.0,,13.0,Sim
Fiat Strada,2024,2.0,13586.0,3.0,Não
Fiat Grand Siena,2016,10.0,113729.0,7.0,Não
Fiat Strada,2021,5.0,74138.0,2.0,Não
Jeep Grand Cherokee,2017,9.0,86280.0,5.0,Sim
Fiat Uno,2014,12.0,112074.0,11.0,Sim
Jeep Grand Cherokee,2022,4.0,58442.0,4.0,Não
Jeep Grand Cherokee,2015,11.0,155572.0,6.0,Sim
Jeep Grand Cherokee,2020,6.0,56942.0,6.0,Não
Fiat Toro,2023,3.0,39513.0,3.0,Não
Jeep Compass,2018,8.0,107297.0,5.0,Sim
RAM 2500,2021,5.0,69345.0,5.0,Não
Fiat Toro,2020,6.0,69191.0,2.0,Não
Jeep Grand Cherokee,2018,8.0,92211.0,5.0,Não
Jeep Renegade,2019,7.0,96864.0,5.0,Não
Jeep Renegade,2018,8.0,91467.0,6.0,Sim
Fiat Palio,2013,13.0,156907.0,10.0,Sim
Fiat Uno,2012,14.0,227654.0,13.0,Sim
Fiat Toro,2021,5.0,67826.0,2.0,Não
Fiat Uno,2020,6.0,,4.0,Não
,2021,5.0,71347.0,11.0,Não
Fiat Toro,2016,10.0,109089.0,2.0,Sim
Fiat Grand Siena,2013,13.0,135851.0,7.0,Não
Jeep Compass,2016,10.0,87453.0,8.0,Não
Jeep Grand Cherokee,2018,8.0,90042.0,6.0,Não
Jeep Grand Cherokee,2023,3.0,31658.0,2.0,Não
RAM 2500,2025,1.0,9059.0,0.0,Não
Fiat Uno,2012,14.0,145822.0,11.0,Sim
RAM 2500,2018,8.0,109280.0,6.0,Sim
Fiat Palio,2017,9.0,104077.0,4.0,Não
Fiat Strada,2021,5.0,48658.0,3.0,Não
Jeep Renegade,2018,8.0,45305.0,5.0,Sim
Jeep Renegade,2019,7.0,76437.0,4.0,Não
Fiat Toro,2023,3.0,30016.0,0.0,Não
Jeep Grand Cherokee,2022,4.0,49799.0,3.0,Não
Jeep Renegade,2021,5.0,67739.0,3.0,Não
Fiat Strada,2023,3.0,39603.0,1.0,Não
Jeep Compass,2021,5.0,61386.0,4.0,Sim
Jeep Compass,2020,6.0,76595.0,8.0,Não
Fiat Toro,2023,3.0,48332.0,2.0,Não
Fiat Uno,2015,11.0,137273.0,7.0,Não
Fiat Strada,2026,0.0,0.0,0.0,Não
Fiat Palio,2016,10.0,144633.0,8.0,Sim
Fiat Strada,2020,6.0,68604.0,7.0,Sim
Jeep Renegade,2015,11.0,145501.0,8.0,Sim
Fiat Grand Siena,2017,9.0,107606.0,8.0,Sim
Fiat Toro,2023,3.0,41469.0,4.0,Não
Fiat Palio,2014,12.0,184914.0,14.0,Sim
Jeep Compass,2019,7.0,61734.0,7.0,Sim
Jeep Compass,2018,8.0,68576.0,4.0,Sim
RAM 2500,2017,9.0,80870.0,9.0,Sim
Fiat Palio,2016,10.0,132395.0,8.0,Não
Fiat Strada,2022,4.0,65409.0,4.0,Não
Jeep Grand Cherokee,2016,10.0,121802.0,10.0,Não
Fiat Strada,2022,4.0,44790.0,5.0,Não
Jeep Renegade,2019,7.0,83135.0,6.0,Sim
Fiat Grand Siena,2015,11.0,144511.0,5.0,Sim
Fiat Uno,2015,11.0,77851.0,15.0,Não
Jeep Grand Cherokee,2019,,102720.0,5.0,Sim
Fiat Uno,2014,12.0,64232.0,8.0,Não
RAM 2500,2017,9.0,140160.0,11.0,Sim
Jeep Compass,2023,3.0,30475.0,3.0,Não
Fiat Grand Siena,2013,13.0,172084.0,11.0,Sim
Jeep Compass,2022,4.0,53796.0,3.0,Não
Fiat Strada,2019,7.0,101052.0,5.0,Não
Jeep Grand Cherokee,2023,3.0,,3.0,Não
Fiat Grand Siena,2016,10.0,115254.0,13.0,Sim
Fiat Toro,2021,5.0,70070.0,1.0,Não
Jeep Grand Cherokee,2016,10.0,195339.0,8.0,Sim
RAM 2500,2014,12.0,,12.0,Sim
Fiat Toro,2022,4.0,39138.0,2.0,Sim
Fiat Strada,2025,1.0,8318.0,0.0,Sim
Jeep Compass,2021,5.0,56543.0,5.0,Não
Jeep Compass,2018,8.0,112619.0,12.0,Sim
Jeep Renegade,2015,11.0,134645.0,11.0,Sim
RAM 2500,2016,10.0,114900.0,13.0,Sim
Jeep Renegade,2023,3.0,44650.0,7.0,Não
Jeep Grand Cherokee,2022,4.0,53898.0,3.0,Não
Jeep Compass,2020,6.0,50165.0,7.0,Sim
Jeep Renegade,2020,6.0,57314.0,3.0,Não
Fiat Toro,2018,8.0,104119.0,6.0,Não
Fiat Palio,2014,12.0,95117.0,7.0,Não
Jeep Grand Cherokee,2017,9.0,93911.0,3.0,Sim
Jeep Compass,2023,3.0,38518.0,3.0,Não
Fiat Toro,2016,10.0,63588.0,5.0,Não
Jeep Compass,2018,8.0,47665.0,3.0,Sim
Jeep Compass,2022,4.0,29599.0,5.0,Não
Jeep Renegade,2018,8.0,125834.0,9.0,Não
Jeep Compass,2017,9.0,118192.0,3.0,Sim
RAM 2500,2024,2.0,20934.0,4.0,Não
Fiat Palio,2014,12.0,89109.0,13.0,Não
Fiat Grand Siena,2018,8.0,76360.0,7.0,Não
Jeep Grand Cherokee,2020,6.0,70286.0,3.0,Não
Jeep Grand Cherokee,2015,11.0,183112.0,9.0,Sim
Fiat Toro,2019,7.0,80391.0,6.0,Não
Fiat Grand Siena,2016,10.0,109518.0,7.0,Não
RAM 2500,2014,12.0,90038.0,6.0,Não
Jeep Compass,2024,2.0,23301.0,3.0,Não
Fiat Uno,2018,8.0,,4.0,Não
Fiat Toro,2019,7.0,101779.0,6.0,Não
Jeep Compass,2022,4.0,38682.0,1.0,Não
Jeep Renegade,2017,9.0,102587.0,9.0,Sim
Jeep Grand Cherokee,2024,2.0,23997.0,,Não
Fiat Grand Siena,2018,8.0,,4.0,Não
Fiat Palio,2015,11.0,167833.0,7.0,Não
Jeep Grand Cherokee,2014,12.0,172281.0,7.0,Não
Fiat Strada,2017,9.0,126339.0,3.0,Não
Jeep Grand Cherokee,2016,10.0,154852.0,10.0,Não
Fiat Toro,2021,5.0,54677.0,3.0,Não
Jeep Compass,2018,8.0,90015.0,2.0,Não
Fiat Grand Siena,2012,14.0,180092.0,9.0,Sim
Jeep Renegade,2024,2.0,14599.0,0.0,Não
Fiat Toro,2018,8.0,86778.0,4.0,Não
Jeep Compass,2016,10.0,108391.0,5.0,Não
Jeep Renegade,2024,2.0,18851.0,0.0,Não
Fiat Strada,2019,7.0,94786.0,3.0,Não
Jeep Compass,2020,6.0,84358.0,5.0,Não
Fiat Palio,2017,9.0,126524.0,11.0,Não
Fiat Strada,2023,3.0,35515.0,2.0,Não
Fiat Palio,2015,11.0,145935.0,11.0,Não
Jeep Renegade,2016,10.0,,10.0,Sim
Jeep Grand Cherokee,2018,8.0,102979.0,7.0,Sim
Jeep Renegade,2021,5.0,61207.0,5.0,Não
Fiat Uno,2015,11.0,101316.0,7.0,Não
Jeep Grand Cherokee,2022,4.0,62689.0,6.0,Sim
Fiat Toro,2024,2.0,26030.0,5.0,Não
Jeep Renegade,2018,8.0,80460.0,,Não
RAM 2500,2014,12.0,89279.0,11.0,Sim
RAM 2500,2015,11.0,117798.0,7.0,Não
Fiat Palio,2014,12.0,174959.0,12.0,Não
Fiat Toro,2026,0.0,1972.0,0.0,Não
Fiat Toro,2021,5.0,60262.0,7.0,Sim
Jeep Grand Cherokee,2014,12.0,171555.0,9.0,Sim
Fiat Toro,2019,7.0,87799.0,4.0,Não
RAM 2500,2025,1.0,9739.0,2.0,Não
Fiat Toro,2024,2.0,15926.0,0.0,Não
Jeep Compass,2022,4.0,41348.0,1.0,Não
Jeep Renegade,2015,11.0,,5.0,Sim
Fiat Strada,2022,4.0,30948.0,2.0,Não
Fiat Toro,2022,4.0,44243.0,1.0,Não
Fiat Toro,2023,3.0,32526.0,2.0,Não
Fiat Toro,2023,3.0,38988.0,0.0,Não
Fiat Palio,2012,14.0,200690.0,19.0,Sim
RAM 2500,2019,7.0,91579.0,6.0,Não
Jeep Grand Cherokee,2016,10.0,117203.0,8.0,Não
Fiat Strada,2023,3.0,35764.0,0.0,Não
RAM 2500,2020,6.0,73671.0,9.0,Não
Fiat Strada,2023,3.0,29790.0,3.0,Não
Fiat Strada,2017,9.0,123556.0,6.0,Sim
Fiat Toro,2017,9.0,76128.0,9.0,Não
Fiat Strada,2018,8.0,109316.0,4.0,Não
Fiat Uno,2011,15.0,176066.0,14.0,Sim
Fiat Toro,2017,,130624.0,7.0,Não
Fiat Toro,2019,7.0,74083.0,4.0,Não
Jeep Renegade,2022,4.0,44258.0,2.0,Não
Jeep Grand Cherokee,2020,6.0,67816.0,2.0,Não
Fiat Uno,2014,12.0,123635.0,7.0,Não
Jeep Renegade,2024,2.0,21504.0,2.0,Não
Jeep Compass,2022,4.0,52946.0,0.0,Não
Jeep Compass,2024,2.0,26078.0,2.0,Não
Jeep Grand Cherokee,2017,,120487.0,7.0,Sim
Fiat Strada,2017,9.0,98186.0,5.0,Não
Fiat Palio,2012,14.0,107824.0,5.0,Não
Fiat Toro,2019,7.0,69162.0,4.0,Não
Jeep Grand Cherokee,2014,12.0,154934.0,9.0,Sim
Fiat Toro,2026,0.0,0.0,0.0,Não
Fiat Uno,2014,12.0,135326.0,11.0,Sim
Jeep Compass,2021,5.0,76228.0,6.0,Não
Fiat Uno,2017,9.0,60823.0,10.0,Sim
Jeep Grand Cherokee,2019,,76277.0,9.0,Não
Fiat Uno,2013,13.0,176860.0,10.0,Sim
Fiat Strada,2019,7.0,94670.0,5.0,Não
Jeep Compass,2016,10.0,132713.0,7.0,Sim
Jeep Grand Cherokee,2014,12.0,123526.0,8.0,Sim
Fiat Uno,2011,15.0,244654.0,11.0,Não
Fiat Strada,2025,1.0,9391.0,0.0,Não
Fiat Grand Siena,2015,11.0,88091.0,11.0,Não
,2017,9.0,90951.0,8.0,Sim
Fiat Toro,2019,7.0,73612.0,3.0,Não
Fiat Toro,2018,8.0,62734.0,6.0,Não
Jeep Renegade,2024,2.0,,2.0,Não
Jeep Compass,2021,5.0,45608.0,3.0,Não
Jeep Grand Cherokee,2018,8.0,137247.0,10.0,Sim
Fiat Toro,2024,2.0,21127.0,1.0,Não
Fiat Strada,2016,10.0,101615.0,7.0,Sim
Fiat Grand Siena,2015,11.0,135895.0,4.0,Não
Jeep Compass,2020,6.0,55461.0,2.0,Não
RAM 2500,2017,9.0,97193.0,8.0,Sim
Jeep Renegade,2022,4.0,56338.0,6.0,Não
Jeep Renegade,2024,2.0,24442.0,3.0,Não
Fiat Grand Siena,2015,11.0,126184.0,8.0,Não
Jeep Compass,2020,6.0,63647.0,7.0,Não
Jeep Grand Cherokee,2024,2.0,30327.0,2.0,Não
Jeep Compass,2021,5.0,48542.0,0.0,Não
Jeep Grand Cherokee,2020,6.0,77085.0,7.0,Não
Fiat Toro,2021,5.0,51449.0,2.0,Não
Jeep Grand Cherokee,2021,5.0,60598.0,3.0,Não
Jeep Compass,2025,1.0,11677.0,1.0,Não
Fiat Toro,2018,8.0,74983.0,3.0,Não
Fiat Strada,2022,4.0,56140.0,5.0,Não
Jeep Compass,2019,7.0,,7.0,Sim
Fiat Toro,2022,4.0,,4.0,Não
Jeep Renegade,2019,7.0,44061.0,3.0,Não
Jeep Compass,2021,5.0,61039.0,3.0,Não
Fiat Palio,2012,14.0,189532.0,9.0,Sim
Jeep Renegade,2016,10.0,140128.0,6.0,Sim
Jeep Grand Cherokee,2025,1.0,10506.0,1.0,Não
Fiat Grand Siena,2012,14.0,129645.0,8.0,Sim
Jeep Renegade,2018,8.0,109917.0,12.0,Sim
Fiat Uno,2016,10.0,145281.0,11.0,Não
Jeep Compass,2025,1.0,14445.0,1.0,Não
Jeep Renegade,2018,8.0,63210.0,6.0,Não
Jeep Compass,2016,10.0,124921.0,5.0,Não
Fiat Uno,2018,8.0,69818.0,5.0,Sim
Fiat Toro,2018,8.0,102601.0,3.0,Não
Jeep Compass,2017,9.0,114416.0,11.0,Sim
Fiat Grand Siena,2012,14.0,195876.0,8.0,Não
Fiat Palio,2011,15.0,171873.0,10.0,Não
Jeep Renegade,2020,6.0,59998.0,4.0,Não
Jeep Compass,2024,2.0,,2.0,Não
Fiat Palio,2012,14.0,153176.0,8.0,Não
Jeep Renegade,2020,6.0,78883.0,8.0,Não
Jeep Renegade,2023,3.0,34474.0,2.0,Sim
RAM 2500,2019,,98162.0,2.0,Não
Fiat Toro,2017,9.0,78566.0,7.0,Sim
Jeep Compass,2016,10.0,113735.0,8.0,Não
RAM 2500,2016,10.0,115397.0,10.0,Não
Fiat Palio,2012,14.0,161202.0,8.0,Não
Jeep Renegade,2020,6.0,49751.0,2.0,Não
Jeep Compass,2023,3.0,38566.0,2.0,Não
Fiat Uno,2016,10.0,127410.0,9.0,Sim
Jeep Compass,2020,6.0,92235.0,5.0,Não
Fiat Strada,2026,0.0,1452.0,1.0,Não
Jeep Compass,2021,5.0,91124.0,5.0,Não
Fiat Toro,2025,1.0,10031.0,0.0,Não
Fiat Toro,2025,1.0,16648.0,1.0,Não
Fiat Uno,2019,7.0,83750.0,5.0,Não
RAM 2500,2025,1.0,11936.0,2.0,Não
Jeep Compass,2023,3.0,38508.0,1.0,Sim
Fiat Toro,2016,10.0,131264.0,8.0,Sim
Fiat Toro,2020,6.0,63203.0,4.0,Não
Fiat Toro,2022,4.0,49665.0,5.0,Não
Fiat Strada,2026,0.0,0.0,1.0,Não
Fiat Uno,2013,13.0,131391.0,10.0,Não
RAM 2500,2022,4.0,46686.0,4.0,Não
Jeep Grand Cherokee,2015,11.0,179953.0,12.0,Não
Jeep Compass,2017,9.0,130524.0,7.0,Sim
Fiat Toro,2026,0.0,0.0,1.0,Não
Fiat Toro,2021,5.0,68918.0,7.0,Não
RAM 2500,2019,7.0,85397.0,9.0,Não
Fiat Palio,2012,14.0,,6.0,Não
Jeep Renegade,2016,10.0,120316.0,13.0,Sim
Fiat Palio,2015,11.0,166434.0,9.0,Não
Fiat Uno,2014,12.0,173539.0,12.0,Sim
Fiat Uno,2015,11.0,102685.0,3.0,Não
Fiat Palio,2017,9.0,118421.0,9.0,Sim
Fiat Toro,2026,0.0,1697.0,0.0,Não
Fiat Toro,2020,,81332.0,5.0,Não
Jeep Compass,2024,2.0,25474.0,2.0,Não
Fiat Uno,2012,14.0,195156.0,12.0,Sim
Fiat Toro,2026,0.0,0.0,0.0,Não
Fiat Strada,2017,9.0,93159.0,5.0,Sim
Fiat Toro,2023,3.0,45176.0,3.0,Não
Jeep Grand Cherokee,2022,4.0,57668.0,6.0,Não
Jeep Compass,2024,2.0,24795.0,2.0,Não
Jeep Compass,2023,3.0,42626.0,8.0,Não
Fiat Strada,2021,5.0,51743.0,3.0,Não
Jeep Renegade,2020,6.0,78461.0,4.0,Sim
Jeep Renegade,2020,6.0,58279.0,3.0,Sim
Jeep Grand Cherokee,2022,4.0,46984.0,4.0,Sim
Jeep Grand Cherokee,2025,1.0,9588.0,2.0,Sim
Fiat Toro,2019,7.0,78246.0,6.0,Não
Jeep Renegade,2018,8.0,83496.0,7.0,Não
Jeep Compass,2023,,34743.0,2.0,Não
Jeep Renegade,2016,10.0,111963.0,7.0,Sim
Jeep Grand Cherokee,2014,12.0,145123.0,8.0,Não
Fiat Grand Siena,2018,8.0,,8.0,Não
Fiat Strada,2026,0.0,1984.0,0.0,Sim
Jeep Renegade,2023,3.0,26579.0,1.0,Não
Fiat Strada,2026,0.0,68.0,1.0,Não
RAM 2500,2024,2.0,26070.0,3.0,Sim
Fiat Strada,2023,3.0,41309.0,3.0,Não
Fiat Strada,2019,7.0,102273.0,,Não
Fiat Strada,2025,1.0,10771.0,0.0,Não
Fiat Strada,2020,6.0,75418.0,5.0,Não
Jeep Renegade,2015,11.0,155863.0,5.0,Sim
Fiat Strada,2026,0.0,5076.0,0.0,Não
Fiat Uno,2017,9.0,122402.0,4.0,Sim
Fiat Strada,2025,1.0,8020.0,3.0,Não
Fiat Grand Siena,2013,13.0,154140.0,7.0,Não
Jeep Grand Cherokee,2025,1.0,13221.0,1.0,Não
Jeep Renegade,2019,7.0,82131.0,,Não
Jeep Renegade,2020,6.0,75422.0,6.0,Sim
Fiat Strada,2018,8.0,88084.0,5.0,Não
Fiat Grand Siena,2012,14.0,172865.0,9.0,Não
Fiat Strada,2024,2.0,35774.0,1.0,Não
Jeep Grand Cherokee,2016,10.0,108439.0,12.0,Não
Fiat Toro,2024,2.0,20581.0,5.0,Não
Jeep Compass,2022,4.0,38227.0,3.0,Não
Jeep Compass,2020,6.0,91590.0,7.0,Não
Fiat Strada,2024,2.0,23872.0,2.0,Não
RAM 2500,2018,8.0,112830.0,5.0,Sim
Jeep Grand Cherokee,2017,9.0,71511.0,4.0,Sim
Jeep Compass,2023,3.0,28636.0,,Não
Jeep Compass,2021,5.0,55317.0,2.0,Não
Fiat Toro,2023,3.0,33051.0,2.0,Não
Fiat Toro,2019,7.0,83583.0,6.0,Não
Fiat Toro,2019,7.0,85510.0,8.0,Não
Fiat Toro,2022,4.0,57032.0,3.0,Não
Jeep Compass,2024,2.0,22504.0,3.0,Não
RAM 2500,2016,10.0,146279.0,9.0,Não
Jeep Compass,2024,2.0,,2.0,Não
Jeep Grand Cherokee,2019,7.0,51288.0,3.0,Sim
RAM 2500,2017,9.0,35965.0,7.0,Sim
RAM 2500,2015,11.0,135025.0,4.0,Não
RAM 2500,2017,9.0,119375.0,6.0,Sim
Fiat Strada,2026,0.0,0.0,1.0,Não
Fiat Strada,2016,10.0,125351.0,7.0,Não
Fiat Strada,2023,3.0,34646.0,3.0,Sim
Jeep Compass,2024,2.0,24256.0,0.0,Não
Jeep Compass,2025,1.0,15678.0,2.0,Não
Jeep Grand Cherokee,2019,7.0,105779.0,5.0,Não
Fiat Toro,2023,3.0,13594.0,2.0,Não
Jeep Compass,2019,7.0,46528.0,3.0,Não
Jeep Compass,2023,3.0,39377.0,0.0,Não
Jeep Grand Cherokee,2022,4.0,70891.0,5.0,Não
Jeep Renegade,2022,4.0,44404.0,2.0,Não
Fiat Toro,2016,10.0,133264.0,4.0,Não
Fiat Grand Siena,2014,12.0,194668.0,11.0,Sim
Fiat Strada,2017,9.0,91062.0,7.0,Não
Fiat Uno,2013,13.0,138580.0,11.0,Sim
Jeep Compass,2024,2.0,15648.0,1.0,Não
Fiat Toro,2016,10.0,101221.0,6.0,Sim
Jeep Renegade,2021,5.0,77586.0,3.0,Não
Fiat Toro,2024,2.0,,4.0,Não
Fiat Toro,2021,5.0,55375.0,5.0,Não
Fiat Grand Siena,2015,11.0,187013.0,10.0,Sim
Fiat Grand Siena,2019,7.0,90398.0,6.0,Não
